Route,Segment_ID,A.Buildings,B.Buildings,A.PredominantBuildings,B.PredominantBuildings,BuildingsSame,A.CyclingFacility,B.CyclingFacility,A.FacilityLocation,B.FacilityLocation,A.Slope,B.Slope,A.FacilityCondition,B.FacilityCondition,A.RoadCondition,B.RoadCondition,A.Lanes,B.Lanes,A.ParkingRestriction,B.ParkingRestriction,A.CurbType,B.CurbType,A.TrafficCalming,B.TrafficCalming,A.OtherRoute,B.OtherRoute,A.Crossing,B.Crossing,A.Lights,B.Lights,A.LightCover,B.LightCover,A.Destinations,B.Destinations,ParkingSpots,A.BikeParking,B.BikeParking,A.Maintenance,B.Maintenance,A.Trees,B.Trees,A.TreeHeight,B.TreeHeight,A.Cleanliness,B.Cleanliness,A.BusStops,B.BusStops,A.SoBiHub,B.SoBiHub,A.Attractiveness,B.Attractiveness,A.Comfortability,B.Comfortability,A.Views,B.Views,A.Wayfinding,B.Wayfinding
2B,11,"Housing, Food","Housing, Service",Housing,Housing,Yes,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Moderate (some bumps/holes),Moderate (some bumps/holes),Moderate (some bumps/holes),Moderate (some bumps/holes),1 lane,1 lane,,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,Yes,Yes,1 to 20,None,None,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are tall,Majority are tall,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Attractive,Attractive,Moderately difficult,Moderately difficult,Residential,Residential,Very easy,Very easy
2B,12,Housing,"Food, Service",Housing,Food,No,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Moderate (some bumps/holes),Moderate (some bumps/holes),Moderate (some bumps/holes),Moderate (some bumps/holes),2 or 3 lanes,2 or 3 lanes,Yes,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,Yes,1 to 20,None,None,Over 75%,Over 75%,No trees at all,No trees at all,None,None,None or almost none,None or almost none,None,1 or more per block,Not available in area,Not available in area,Not attractive at all,Not attractive at all,Moderately difficult,Moderately difficult,Residential,Commercial,Fairly easy,Fairly easy
2B,13,Housing,"Housing, Retail",Housing,Housing,Yes,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Moderate (some bumps/holes),Moderate (some bumps/holes),Moderate (some bumps/holes),Moderate (some bumps/holes),2 or 3 lanes,2 or 3 lanes,Yes,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,Yes,No,0,None,None,50-74%,Over 75%,1 or more per block,No trees at all,Majority are medium,None,Yes some,None or almost none,None,None,Not available in area,Not available in area,Not attractive at all,Not attractive at all,Moderately difficult,Moderately difficult,Residential,Commercial,Fairly easy,Fairly easy
2B,14,"Housing, Retail","Housing, Service",Housing,Retail,No,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Moderate (some bumps/holes),Moderate (some bumps/holes),Moderate (some bumps/holes),Moderate (some bumps/holes),2 or 3 lanes,2 or 3 lanes,Yes,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,Yes,Yes,1 to 20,None,None,Less than 50%,Less than 50%,No trees at all,No trees at all,None,None,Yes some,Yes some,None,None,Not available in area,Not available in area,Not attractive at all,Not attractive at all,Moderately difficult,Moderately difficult,Urban,Urban,Fairly easy,Fairly easy
2B,15,Other retail,Service,Other retail,Service,No,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Moderate (some bumps/holes),Moderate (some bumps/holes),Moderate (some bumps/holes),Moderate (some bumps/holes),2 or 3 lanes,2 or 3 lanes,Yes,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,Yes,Yes,1 to 20,None,None,Over 75%,Over 75%,1 or more per block,No trees at all,Majority are medium,None,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Not attractive at all,Not attractive at all,Moderately difficult,Moderately difficult,Commercial,Commercial,Fairly easy,Fairly easy
2B,16,"Housing, Service","Housing, Food",Housing,Housing,Yes,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Moderate (some bumps/holes),Moderate (some bumps/holes),Moderate (some bumps/holes),Moderate (some bumps/holes),2 or 3 lanes,2 or 3 lanes,No,No,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,Yes,Yes,1 to 20,None,None,Over 75%,Over 75%,No trees at all,No trees at all,None,None,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Not attractive at all,Not attractive at all,Moderately difficult,Moderately difficult,Commercial,Commercial,Fairly easy,Fairly easy
2B,17,"Food, Retail, Service","Retail, Service",Service,Service,Yes,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Moderate (some bumps/holes),Moderate (some bumps/holes),Moderate (some bumps/holes),Moderate (some bumps/holes),2 or 3 lanes,2 or 3 lanes,No,Yes,Non-mountable,Non-mountable,None,None,None,Alley or lane,None,None,Yes,No,Yes,Not Applicable,Yes,Yes,1 to 20,None,None,Over 75%,Over 75%,No trees at all,No trees at all,None,None,None or almost none,None or almost none,1 or more per block,1 or more per block,Not available in area,Not available in area,Not attractive at all,Not attractive at all,Moderately difficult,Moderately difficult,Commercial,Commercial,Fairly easy,Fairly easy
2B,18,"Housing, Service",Housing,Housing,Housing,Yes,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Moderate (some bumps/holes),Moderate (some bumps/holes),Moderate (some bumps/holes),Moderate (some bumps/holes),2 or 3 lanes,2 or 3 lanes,No,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,Yes,No,1 to 20,None,None,Over 75%,Over 75%,No trees at all,1 or more per block,None,Majority are medium,None or almost none,None or almost none,1 or more per block,1 or more per block,Not available in area,Not available in area,Not attractive at all,Not attractive at all,Moderately difficult,Moderately difficult,Commercial,Commercial,Fairly easy,Fairly easy
2B,19,Housing,"Housing, Service",Housing,Service,No,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),2 or 3 lanes,2 or 3 lanes,No,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,Yes,1 to 20,None,None,Over 75%,Over 75%,1 or more per block,Approx 1 tree for every 2 blocks,Majority are small,Majority are medium,None or almost none,None or almost none,None,1 or more per block,Not available in area,Not available in area,Attractive,Attractive,Moderately difficult,Moderately difficult,Residential,Commercial,Fairly easy,Fairly easy
2B,20,"Housing, Food, Service",Housing,Housing,Housing,Yes,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),2 or 3 lanes,2 or 3 lanes,No,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,Yes,No,1 to 20,None,None,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are medium,None or almost none,None or almost none,1 or more per block,None,Not available in area,Not available in area,Attractive,Attractive,Very difficult,Very difficult,Residential,Residential,Fairly easy,Fairly easy
2B,21,Housing,Housing,Housing,Housing,Yes,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),2 or 3 lanes,2 or 3 lanes,No,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,Approx 1 tree for every 2 blocks,Majority are tall,Majority are medium,None or almost none,None or almost none,None,1 or more per block,Not available in area,Not available in area,Attractive,Attractive,Very difficult,Very difficult,Residential,Residential,Fairly easy,Fairly easy
2B,22,Housing,Housing,Housing,Housing,Yes,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),2 or 3 lanes,2 or 3 lanes,Yes,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,No trees at all,Approx 1 tree for every 2 blocks,None,Majority are tall,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Attractive,Attractive,Very difficult,Very difficult,Residential,Residential,Fairly easy,Fairly easy
2B,23,"Housing, Service","Housing, Natural features",Housing,Housing,Yes,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),2 or 3 lanes,2 or 3 lanes,No,Yes,Non-mountable,Non-mountable,None,None,None,None,Traffic signal,Traffic signal,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,No trees at all,1 or more per block,None,Majority are small,None or almost none,None or almost none,1 or more per block,None,Not available in area,Not available in area,Attractive,Attractive,Very difficult,Very difficult,Residential,Residential,Very easy,Very easy
2B,24,"Other retail, Service","Housing, Service",Other retail,Service,No,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),2 or 3 lanes,1 lane,No,No,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,Yes,Yes,1 to 20,None,None,Over 75%,Over 75%,No trees at all,Approx 1 tree for every 2 blocks,None,Majority are medium,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Attractive,Attractive,Moderately difficult,Moderately difficult,Commercial,Commercial,Very easy,Fairly easy
2B,25,Housing,"Housing, Educational",Housing,Educational,No,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,Yes,21 to 50,None,None,Over 75%,Over 75%,No trees at all,Approx 1 tree for every 2 blocks,None,Majority are medium,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Attractive,Attractive,Moderately difficult,Moderately difficult,Residential,Commercial,Fairly easy,Fairly easy
2B,26,Housing,Educational,Housing,Educational,No,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,Yes,No,21 to 50,None,None,Over 75%,Over 75%,No trees at all,1 or more per block,None,Majority are medium,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Attractive,Attractive,Moderately difficult,Moderately difficult,Residential,Commercial,Fairly easy,Fairly easy
2B,27,Housing,Service,Housing,Service,No,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,Yes,Non-mountable,Non-mountable,None,None,None,Path through park,None,None,Yes,No,Yes,Not Applicable,No,Yes,1 to 20,None,None,Over 75%,Over 75%,No trees at all,Approx 1 tree for every 2 blocks,None,Majority are medium,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Attractive,Attractive,Moderately difficult,Moderately difficult,Residential,Commercial,Fairly easy,Fairly easy
2B,28,Housing,Housing,Housing,Housing,Yes,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,Yes,No,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,No trees at all,Majority are tall,None,Yes some,None or almost none,None,None,Not available in area,Not available in area,Very attractive,Very attractive,Easy,Easy,Residential,Residential,Fairly easy,Fairly easy
2B,29,"Transport infrastructure, Food, Service","Transport infrastructure, Service, Natural features",Transport Infrastructure,Transport Infrastructure,Yes,No facilities,Multi-use trail,Not applicable,Off-road,Not applicable,Flat or gentle,Not applicable,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),2 or 3 lanes,2 or 3 lanes,No,No,Non-mountable,Non-mountable,None,None,Path through park,Path through park,Traffic signal,Traffic signal,Yes,Yes,Yes,Yes,Yes,Yes,71 to 100,None,None,Over 75%,Over 75%,No trees at all,No trees at all,None,None,None or almost none,None or almost none,1 or more per block,1 or more per block,Not available in area,Not available in area,Not attractive at all,Not attractive at all,Moderately difficult,Moderately difficult,Commercial,Commercial,Fairly easy,Fairly easy
2B,30,"Food, Service",Service,Service,Service,Yes,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Moderate (some bumps/holes),Moderate (some bumps/holes),2 or 3 lanes,2 or 3 lanes,Yes,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,No,Yes,Not Applicable,Yes,Yes,Yes,71 to 100,None,None,Over 75%,Over 75%,No trees at all,No trees at all,None,None,Yes some,Yes some,None,None,Not available in area,Not available in area,Not attractive at all,Not attractive at all,Very difficult,Very difficult,Commercial,Commercial,Fairly easy,Fairly easy
2B,31,"Industrial, Natural features",Service,Natural Features,Service,No,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,Yes,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,No,Yes,Not Applicable,Yes,No,Yes,71 to 100,None,None,Over 75%,Over 75%,1 or more per block,No trees at all,Majority are medium,None,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Attractive,Not attractive at all,Very difficult,Very difficult,Other nature,Urban,Fairly easy,Fairly easy
